date,shop_id,shop_name,customers,sales_usd
2023-01-01,1,Miami Beach,296,5440.48
2023-01-02,1,Miami Beach,253,4754.25
2023-01-03,1,Miami Beach,225,4326.42
2023-01-04,1,Miami Beach,246,4570.11
2023-01-05,1,Miami Beach,235,4202.11
2023-01-06,1,Miami Beach,223,4067.3
2023-01-07,1,Miami Beach,304,5141.29
2023-01-08,1,Miami Beach,235,4270.28
2023-01-09,1,Miami Beach,251,4431.64
2023-01-10,1,Miami Beach,215,3918.9
2023-01-11,1,Miami Beach,219,4151.64
2023-01-12,1,Miami Beach,211,3894.75
2023-01-13,1,Miami Beach,237,4477.85
2023-01-14,1,Miami Beach,263,5073.23
2023-01-15,1,Miami Beach,270,4512.77
2023-01-16,1,Miami Beach,230,4276.97
2023-01-17,1,Miami Beach,254,4594.63
2023-01-18,1,Miami Beach,216,3603.99
2023-01-19,1,Miami Beach,288,5246.91
2023-01-20,1,Miami Beach,232,4301.64
2023-01-21,1,Miami Beach,300,5584.36
2023-01-22,1,Miami Beach,294,5686.73
2023-01-23,1,Miami Beach,243,4434.38
2023-01-24,1,Miami Beach,206,3820.07
2023-01-25,1,Miami Beach,181,3660.64
2023-01-26,1,Miami Beach,206,3913.96
2023-01-27,1,Miami Beach,216,4253.25
2023-01-28,1,Miami Beach,207,3817.82
2023-01-29,1,Miami Beach,278,5762.8
2023-01-30,1,Miami Beach,268,4885.71
2023-01-31,1,Miami Beach,214,3882.07
2023-02-01,1,Miami Beach,226,4031.55
2023-02-02,1,Miami Beach,230,4403.41
2023-02-03,1,Miami Beach,256,4474.51
2023-02-04,1,Miami Beach,260,4639.11
2023-02-05,1,Miami Beach,248,4864.28
2023-02-06,1,Miami Beach,241,4425.44
2023-02-07,1,Miami Beach,181,3606.07
2023-02-08,1,Miami Beach,166,2871.62
2023-02-09,1,Miami Beach,218,3916.11
2023-02-10,1,Miami Beach,210,4044.57
2023-02-11,1,Miami Beach,225,3924.84
2023-02-12,1,Miami Beach,257,5156.3
2023-02-13,1,Miami Beach,234,4036.07
2023-02-14,1,Miami Beach,201,3978.71
2023-02-15,1,Miami Beach,213,4020.09
2023-02-16,1,Miami Beach,229,4289.53
2023-02-17,1,Miami Beach,219,4180.94
2023-02-18,1,Miami Beach,255,5175.76
2023-02-19,1,Miami Beach,252,4562.86
2023-02-20,1,Miami Beach,213,4157.9
2023-02-21,1,Miami Beach,193,3744.72
2023-02-22,1,Miami Beach,253,4481.76
2023-02-23,1,Miami Beach,227,4303.09
2023-02-24,1,Miami Beach,230,4161.11
2023-02-25,1,Miami Beach,249,4847.56
2023-02-26,1,Miami Beach,269,5138.28
2023-02-27,1,Miami Beach,240,4782.36
2023-02-28,1,Miami Beach,247,4942.8
2023-03-01,1,Miami Beach,218,3964.72
2023-03-02,1,Miami Beach,186,3161.3
2023-03-03,1,Miami Beach,207,3658.99
2023-03-04,1,Miami Beach,255,5310.23
2023-03-05,1,Miami Beach,277,4952.19
2023-03-06,1,Miami Beach,222,3968.55
2023-03-07,1,Miami Beach,232,4224.66
2023-03-08,1,Miami Beach,225,4295.85
2023-03-09,1,Miami Beach,244,5123.26
2023-03-10,1,Miami Beach,255,4625.37
2023-03-11,1,Miami Beach,253,4573.35
2023-03-12,1,Miami Beach,261,5209.27
2023-03-13,1,Miami Beach,211,4085.64
2023-03-14,1,Miami Beach,207,4017.57
2023-03-15,1,Miami Beach,224,4171.95
2023-03-16,1,Miami Beach,217,3953.03
2023-03-17,1,Miami Beach,201,3769.07
2023-03-18,1,Miami Beach,204,3940.3
2023-03-19,1,Miami Beach,279,5100.27
2023-03-20,1,Miami Beach,219,4037.59
2023-03-21,1,Miami Beach,225,4197.73
2023-03-22,1,Miami Beach,246,4260.32
2023-03-23,1,Miami Beach,207,3756.61
2023-03-24,1,Miami Beach,230,4240.55
2023-03-25,1,Miami Beach,273,5133.17
2023-03-26,1,Miami Beach,241,4677.63
2023-03-27,1,Miami Beach,215,3672.85
2023-03-28,1,Miami Beach,176,2986.03
2023-03-29,1,Miami Beach,237,4738.16
2023-03-30,1,Miami Beach,238,4250.89
2023-03-31,1,Miami Beach,243,4293.21
2023-04-01,1,Miami Beach,255,4932.47
2023-04-02,1,Miami Beach,246,4579.41
2023-04-03,1,Miami Beach,250,4251.84
2023-04-04,1,Miami Beach,213,3719.27
2023-04-05,1,Miami Beach,210,4002.25
2023-04-06,1,Miami Beach,270,4812.19
2023-04-07,1,Miami Beach,247,4709.58
2023-04-08,1,Miami Beach,277,5250.88
2023-04-09,1,Miami Beach,293,5160.43
2023-04-10,1,Miami Beach,256,5057.63
2023-04-11,1,Miami Beach,189,3397.79
2023-04-12,1,Miami Beach,212,4209.24
2023-04-13,1,Miami Beach,242,4749.06
2023-04-14,1,Miami Beach,179,3404.74
2023-04-15,1,Miami Beach,248,4399.38
2023-04-16,1,Miami Beach,268,4770.29
2023-04-17,1,Miami Beach,262,5366.39
2023-04-18,1,Miami Beach,213,3759.09
2023-04-19,1,Miami Beach,242,4549.2
2023-04-20,1,Miami Beach,205,3604.85
2023-04-21,1,Miami Beach,226,3994.69
2023-04-22,1,Miami Beach,282,5523.88
2023-04-23,1,Miami Beach,266,5122.08
2023-04-24,1,Miami Beach,222,4341.54
2023-04-25,1,Miami Beach,229,3969.74
2023-04-26,1,Miami Beach,236,4481.85
