date,avg_temp_f,precip_in,is_rain,humidity_pct
2023-01-01,77.9,0.0,0,46.3
2023-01-02,73.9,0.31,1,51.1
2023-01-03,76.3,0.0,0,51.6
2023-01-04,74.2,0.0,0,51.6
2023-01-05,72.7,0.0,0,54.8
2023-01-06,73.1,0.33,1,44.1
2023-01-07,74.9,0.0,0,48.3
2023-01-08,68.4,0.48,1,39.7
2023-01-09,74.3,0.0,0,49.8
2023-01-10,70.3,0.0,0,37.1
2023-01-11,71.9,0.0,0,44.6
2023-01-12,72.0,0.0,0,42.7
2023-01-13,76.2,0.0,0,40.2
2023-01-14,71.2,0.0,0,38.4
2023-01-15,69.2,0.0,0,39.7
2023-01-16,72.5,0.0,0,42.2
2023-01-17,75.2,0.0,0,40.9
2023-01-18,69.2,2.51,1,44.2
2023-01-19,77.6,0.0,0,49.8
2023-01-20,72.0,0.0,0,45.2
2023-01-21,70.7,0.0,0,36.7
2023-01-22,69.8,0.0,0,42.4
2023-01-23,72.0,0.0,0,42.4
2023-01-24,69.1,0.0,0,46.4
2023-01-25,65.8,3.11,1,46.7
2023-01-26,68.5,0.0,0,35.0
2023-01-27,67.4,1.5,1,42.3
2023-01-28,70.3,0.0,0,44.0
2023-01-29,75.1,0.0,0,35.0
2023-01-30,75.5,0.0,0,38.7
2023-01-31,69.2,0.0,0,35.0
2023-02-01,68.8,0.0,0,46.9
2023-02-02,73.4,0.0,0,42.2
2023-02-03,74.7,0.0,0,35.0
2023-02-04,66.2,0.0,0,43.6
2023-02-05,66.8,0.79,1,36.9
2023-02-06,62.0,0.0,0,42.5
2023-02-07,66.1,0.0,0,35.0
2023-02-08,65.5,3.29,1,41.9
2023-02-09,70.4,0.0,0,36.9
2023-02-10,65.7,0.0,0,35.0
2023-02-11,64.7,2.47,1,40.6
2023-02-12,68.1,0.0,0,35.7
2023-02-13,69.7,0.0,0,35.0
2023-02-14,63.7,0.0,0,35.0
2023-02-15,59.8,0.0,0,35.0
2023-02-16,69.4,0.8,1,37.1
2023-02-17,59.8,0.0,0,37.2
2023-02-18,73.5,0.0,0,35.0
2023-02-19,67.8,0.0,0,35.2
2023-02-20,70.9,0.32,1,35.9
2023-02-21,69.5,0.59,1,35.0
2023-02-22,69.5,0.0,0,38.6
2023-02-23,67.8,0.0,0,35.0
2023-02-24,55.5,0.0,0,37.6
2023-02-25,62.7,0.24,1,35.2
2023-02-26,71.8,0.0,0,41.9
2023-02-27,61.3,0.0,0,39.1
2023-02-28,65.8,0.0,0,35.0
2023-03-01,71.3,0.09,1,35.0
2023-03-02,65.6,0.0,0,37.2
2023-03-03,66.9,0.0,0,40.4
2023-03-04,67.5,0.0,0,35.0
2023-03-05,62.1,0.0,0,38.0
2023-03-06,64.7,0.44,1,35.0
2023-03-07,61.0,0.65,1,37.2
2023-03-08,66.5,0.0,0,35.0
2023-03-09,63.7,0.0,0,36.9
2023-03-10,63.4,0.0,0,35.0
2023-03-11,68.7,0.03,1,35.0
2023-03-12,71.9,0.0,0,35.0
